index;first_name;name;age;numero_securite_sociale
473;Margaux;Dugommier;99;1 38 08 74 401 951 88
474;Marie;Jack;42;1 48 09 87 163 178 54
475;Cyril;Ben;29;1 55 07 32 068 153 81
476;Benoit;Dugommier;49;1 14 11 44 785 504 87
477;Marie;Wilson;80;1 36 01 79 995 651 69
478;Nathan;Dugommier;82;1 06 09 11 443 674 25
479;Mathilde;Dugommier;48;1 48 11 51 182 755 62
480;Marc;Hammon;86;1 24 07 21 197 631 76
481;Mathilde;Valls;101;1 23 06 94 641 185 45
482;François;Valls;76;1 11 06 62 242 943 57
483;Roger;Wilson;102;1 56 02 10 467 357 98
484;Nathan;Valls;67;1 56 10 48 117 564 37
485;Benoit;Valls;84;1 55 09 02 538 132 54
486;Albert;Valls;90;1 46 02 93 167 059 52
487;Roger;Valls;36;1 44 08 77 490 372 33
488;Margaux;Valls;98;1 24 09 21 669 356 33
489;Marie;Macron;44;1 83 08 64 820 931 81
490;Nathan;Valls;25;1 12 08 74 991 007 16
491;Nathan;Dugommier;39;1 47 10 68 507 819 62
492;Cyril;Lepetit;98;1 08 06 16 436 128 98
493;François;Macron;93;1 17 01 66 547 609 46
494;Marc;Dugommier;2;1 47 01 62 494 158 98
495;Jean;Valls;17;1 21 01 12 295 819 39
496;Jean;Macron;100;1 72 01 03 238 523 02
497;Cyril;Valls;102;1 88 03 27 610 327 09
498;Marc;Leforgeron;7;1 65 11 38 630 346 31
499;Marie;Ruffin;21;1 66 10 82 631 878 84
500;Marie;Valls;11;1 17 03 44 561 278 94
501;Marie;Wilson;15;1 76 09 60 919 873 70
502;François;Hammon;69;1 21 08 77 346 862 77
503;Benoit;Leforgeron;2;1 88 06 86 378 013 36
504;Benoit;Ruffin;40;1 11 08 73 938 593 76
505;Marie;Valls;42;1 77 07 23 107 296 45
506;François;Lepetit;103;1 81 09 59 657 028 10
507;Albert;Dugommier;80;1 13 05 24 678 114 89
508;Mathilde;Leforgeron;76;1 62 04 61 196 336 53
509;Margaux;Jack;116;1 16 03 09 626 350 74
510;Mathilde;Jack;3;1 16 08 09 096 460 27
